D4420;D4433;4U27;4U32;L4115;D4428
1110.83;1836.34;7.71;15.73;1.57;1160.91
1115.72;1814.75;7.71;18.43;1.57;1162.12
1119.39;1818.68;7.7;18.42;1.56;1158.06
1123.74;1848.93;7.71;16.21;1.56;1157.69
1109.36;1840.89;7.71;15.26;1.56;1158.24
1120.73;1837.76;7.71;17.71;1.56;1156.33
1125.31;1846.41;7.72;18.08;1.56;1155.15
1119.11;1844.97;7.71;15.47;1.56;1155.17
1127.86;1846.78;7.72;15.63;1.56;1158.05
1133.64;1877.38;7.71;15.42;1.55;1156.44
1133.39;1896.77;7.7;17.2;1.55;1154.32
1135.43;1890.92;7.71;17.94;1.55;1160.19
1120.4;1878.22;7.71;15.55;1.54;1160.33
1125.01;1888;7.8;14.64;1.55;1159.55
1139.65;1898.25;8.22;14.48;1.55;1161.32
1134.45;1897.46;8.41;15.35;1.55;1161.6
1131.35;1892.46;9.06;17.94;1.55;1161.95
1136.77;1890.44;9.06;16.24;1.57;1165.62
1131.76;1880.46;9.07;15.51;1.56;1166.38
1132.27;1872.72;9.06;15.55;1.56;1160.19
1134.1;1855.74;9.07;15.5;1.55;1159.09
1124.24;1847.92;9.06;15.51;1.57;1156.4
1115.66;1836.65;9.07;15.49;1.55;1160.44
1111.77;1838.19;9.07;15.46;1.55;1161.35
1114.73;1824.49;9.08;15.5;1.55;1161.28
1123.97;1804.13;9.07;15.48;1.55;1164.67
1120.93;1798.04;9.06;15.49;1.57;1160.23
1130.31;1796.44;9.07;16.17;1.56;1158.08
1126.51;1810.72;9.07;18.86;1.56;1155.3
1119.81;1825.27;9.06;17.18;1.56;1153.75
1118.07;1827.51;9.07;16.3;1.55;1157.62
1122.46;1830.14;9.07;16.28;1.55;1157.13
1122.04;1858.92;9.07;16.5;1.55;1157.95
1122.89;1852.37;9.07;16.88;1.55;1156.43
1114.96;1853.77;9.07;17.96;1.56;1157.87
1114.07;1850.67;9.06;17.34;1.55;1156.16
1123.24;1856.34;9.08;17.35;1.57;1157.03
1135.16;1869.55;9.07;15.26;1.55;1161.45
1142.36;1908.17;9.08;14.28;1.56;1158.96
1144.01;1907.71;9.12;14.8;1.57;1157.5
1144.27;1914.7;9.84;16.77;1.56;1161.44
1140.92;1924.79;11.03;15.01;1.55;1162.47
1137.68;1934.5;12.78;12.22;1.56;1161.71
1146.24;1925.14;13.93;12.79;1.56;1165.9
1143.86;1917.32;14.1;12.09;1.56;1167.37
1136.99;1921.76;15.69;12.08;1.56;1168.14
1128.47;1887.75;16.08;12.09;1.55;1166.19
1126.41;1860.76;16.07;12.74;1.55;1167.74
1128.23;1836.93;16.07;14.84;1.58;1168.82
1126.74;1817.2;16.06;15.03;1.55;1168.74
1121.56;1802.12;16.08;12.69;1.55;1165.33
1122.68;1791.87;16.08;13.82;1.55;1162.63
1124.67;1775.37;16.06;14.9;1.54;1160.39
1124.57;1762.56;15.77;14.95;1.55;1162.24
1129.03;1752.04;14.37;15.25;1.55;1157.37
1135.58;1784.51;13.49;17.57;1.55;1153.88
1138.24;1785.77;12.62;18.51;1.54;1150.3
1141.89;1805.06;12.23;15.25;1.54;1151.23
1135.13;1836.35;12.23;13.83;1.55;1154.02
1135.13;1848.18;12.23;15.59;1.56;1153.19
1132.19;1850.1;12.22;16.54;1.55;1157.98
1145.62;1867.05;12.25;16.57;1.54;1158.61
1146.77;1884.84;12.25;16.06;1.55;1159.24
1139.46;1898.22;12.24;14.28;1.55;1159.37
1144.44;1903.61;12.24;14.25;1.56;1157.32
1143.21;1893.41;12.24;15.9;1.56;1163.9
1138.36;1901.77;12.25;16.23;1.55;1163.74
1137.24;1905.8;12.25;14.15;1.55;1163
1129.98;1882.24;12.25;14.12;1.56;1168.45
1124.42;1880.35;12.25;14.1;1.56;1167.25
1129.43;1884.08;12.25;14.1;1.56;1166.29
1122.97;1880.27;12.25;14.12;1.56;1165.92
1118.95;1879.78;12.26;16.53;1.55;1165.31
1126.71;1870.02;12.26;14.82;1.56;1162.93
1129.17;1843.68;12.24;13.56;1.55;1162.37
1127.31;1826.61;12.25;14.34;1.55;1161.05
1138.15;1811.12;12.25;16.63;1.56;1161.23
1138.28;1806.38;12.25;16.25;1.58;1159.09
1137.97;1825.35;12.24;14.51;1.56;1160.87
1138.85;1846.35;12.25;14.32;1.55;1158.14
1124.89;1852.21;12.25;14.77;1.55;1155.88
1122.05;1849.28;12.24;16.7;1.55;1158.87
1124.67;1850.38;12.25;14.93;1.55;1164.49
1134.03;1843.17;12.24;13.38;1.56;1161.11
1136.71;1866.46;12.25;13.39;1.55;1161.93
1128.87;1891.16;12.24;13.97;1.56;1160.27
1137.55;1885.17;12.24;16.43;1.57;1160.86
1150.04;1885.1;12.25;15.19;1.54;1163.08
1135.01;1889.91;12.26;13.27;1.54;1159.59
1132.82;1890.57;12.33;13.31;1.56;1159.14
1131.82;1883.47;12.36;13.3;1.57;1161.57
1137.73;1884.09;12.36;13.26;1.56;1163.56
1136.54;1874.67;13.03;13.27;1.56;1163.24
1133.61;1857.61;13.3;13.32;1.55;1162.42
1139.67;1840.82;13.31;14;1.56;1164.24
1138.36;1840.38;13.31;16.7;1.56;1162.75
1131.76;1840.98;13.32;14.9;1.55;1165.79
1127.29;1796.17;13.33;14.15;1.55;1162.92
1121.96;1763.56;13.31;14.11;1.56;1161.15
1130.35;1754.22;13.11;14.1;1.55;1157.65
1123.11;1758.97;12.31;14.81;1.56;1155.88
1126.01;1774.66;12.14;17.49;1.57;1152.3
1134.34;1775.26;10.82;17.51;1.56;1149.48
1128.29;1790.8;9.72;17.45;1.55;1150.08
1126.05;1806.71;9.36;17.45;1.55;1153.99
1125.07;1825.19;9.37;14.95;1.57;1148.89
1126.86;1836.68;9.37;16.21;1.57;1150.58
1120.25;1839.24;9.36;17.28;1.55;1154.61
1122.81;1842.82;9.36;15.59;1.56;1154.33
1125.25;1865.22;9.36;14.83;1.57;1156.79
1131.46;1887.4;9.36;17.65;1.56;1161.95
1129.16;1900.02;9.37;18.74;1.57;1159.58
1133.14;1888.33;9.37;15.69;1.56;1157.01
1136.52;1893.07;9.36;14.45;1.57;1161.9
1135.26;1891.36;9.36;14.52;1.57;1161.16
1140.01;1900.89;9.36;14.97;1.55;1159.24
1137.12;1916.83;9.49;16.95;1.56;1158.58
1118.71;1920.42;10.25;14.8;1.57;1159.09
1134.83;1898.38;11.25;13.86;1.56;1163.18
1139.46;1888.09;11.25;13.87;1.55;1163.93
1133.93;1897.72;11.31;13.87;1.55;1166.1
1135.31;1919.27;12.43;13.89;1.55;1161.94
1131.27;1918.66;13.67;13.88;1.55;1160.57
1137.46;1885.75;14.04;13.85;1.55;1165.5
1134.15;1860.38;14.04;13.84;1.55;1162.87
1134.19;1848.26;14.02;13.91;1.55;1164.74
1122.61;1824.39;14.05;14.35;1.55;1161.4
1121.87;1830.74;14.06;16.22;1.56;1159.15
1128.21;1809.81;14.06;16.27;1.56;1159.59
1126.74;1804.93;14.06;14.48;1.55;1159.94
1122.35;1802.19;14.06;13.69;1.55;1161.4
1119.62;1807.66;14.06;15.43;1.55;1158.62
1119.94;1802.89;14.05;16.15;1.56;1161.78
1118.44;1811.92;14.05;16.12;1.55;1162.05
1119.28;1808.77;14.05;16.12;1.55;1159.03
1121.32;1799.31;14.05;16.18;1.55;1162.07
1127.01;1797.94;14.05;16.11;1.56;1158.47
1126.85;1799.97;13.92;16.12;1.56;1158.81
1132.05;1792.71;12.75;16.18;1.58;1155.94
1128.71;1807.95;12.46;16.16;1.58;1160.14
1126.07;1814;12.48;16.2;1.56;1162.7
1132.22;1819.3;12.49;16.14;1.57;1161
1138.83;1843.44;12.48;16.17;1.55;1160.63
1144.43;1864.45;12.49;16.14;1.56;1157.65
1139.52;1885.2;12.48;16.16;1.57;1156.18
1143.12;1894.1;12.49;16.19;1.56;1158.63
1149.37;1890.1;12.48;16.15;1.56;1161.22
1143.78;1899.13;12.47;16.15;1.58;1160.09
1145.8;1893.17;12.48;15.48;1.56;1159.66
1145.51;1901.98;12.49;15.24;1.56;1159.65
1137.94;1899.02;12.48;16.01;1.57;1162.46
1145.58;1885.22;12.49;13.74;1.55;1162.8
1146.03;1895.53;12.49;12.9;1.56;1161.86
1130.73;1893.86;12.49;15.48;1.54;1162.03
1124.22;1880.08;12.69;16.62;1.57;1164.51
1131.97;1853.82;12.76;16.2;1.57;1166.36
1135.73;1837.14;12.76;14.5;1.56;1167.32
1137.24;1833.89;12.76;14.49;1.57;1165.56
1139.86;1837.53;12.75;14.5;1.56;1165.71
1135.23;1825.9;12.76;14.51;1.55;1161.98
1138.03;1830.79;12.76;14.55;1.55;1163.6
1136.5;1855.99;12.76;14.52;1.56;1162.62
1143.48;1865.55;12.76;15.3;1.55;1162.1
1139.45;1870.41;12.76;17.94;1.56;1160.51
1148.28;1883.6;12.77;15.84;1.56;1162.72
1155.79;1906.27;13.63;15.84;1.57;1165.61
1149.76;1927.73;14.97;15.98;1.58;1166.07
1142.45;1935.61;16.18;13.37;1.57;1162.6
1136.21;1930.14;16.84;12.22;1.56;1163.61
1145.63;1914.07;17.56;12.29;1.55;1166.51
1146.73;1894.98;17.56;14.84;1.55;1171
1144.88;1891.99;18.23;15.23;1.55;1177.34
1147.96;1859.47;18.54;12.68;1.55;1175.47
1144.47;1847.99;18.55;12.62;1.56;1175.5
1150.22;1861.65;18.56;13.32;1.55;1170.13
1146.5;1867.09;18.55;15.9;1.57;1168.45
1145.15;1862.01;18.55;15.96;1.55;1168.27
1146.49;1851.31;18.54;13.89;1.55;1169.44
1144.42;1829.88;18.55;12.86;1.55;1169.71
1146.21;1809.45;18.54;13.49;1.57;1167.99
1138.39;1798.26;18.54;16.02;1.56;1165.38
1139.84;1805.61;18.55;16.27;1.55;1166.91
1145.06;1811.47;18.55;16.1;1.55;1161.25
1146.2;1849.19;18.55;14.56;1.55;1162.75
1146.15;1864.72;18.55;13.94;1.56;1163.41
1146;1867.57;18.55;14.66;1.56;1163.75
1144.52;1841.71;18.54;16.66;1.55;1165.75
1137.41;1833.27;18.54;14.44;1.55;1165.87
1134.51;1782.54;18.55;14.44;1.54;1164.8
1136.5;1762.94;18.17;14.5;1.55;1162.54
1128.33;1758.03;16.67;16.69;1.55;1159.48
1126.14;1790.23;16.67;17.69;1.55;1158.18
1123.75;1784.7;15.82;17.63;1.54;1159.29
1122.8;1787.25;14.7;17.66;1.54;1159.32
1123.6;1801.89;14.7;15.73;1.55;1156.8
1117.91;1786.53;13.94;15.65;1.56;1155.92
1119.56;1783.11;12.79;18.73;1.55;1159.88
1123.99;1807.64;12.1;18.78;1.56;1159.93
1125;1826.39;12.11;18.26;1.56;1159.85
1129.47;1824.76;12.11;16.35;1.55;1157.33
1116.32;1843.04;12.11;16.47;1.55;1150.03
1122.04;1839.24;12.11;16.3;1.56;1154.62
1127.79;1824.15;12.11;18.02;1.55;1155.12
1126.44;1835.3;12.11;18.79;1.56;1152.51
1122.67;1814.91;12.11;18.84;1.55;1153.16
1121.49;1806.17;11.48;17.32;1.56;1151.08
1122.17;1793.88;10.61;16.58;1.56;1152.56
1118.62;1802.24;10.34;19.24;1.56;1151.04
1110.09;1806.77;10.13;20.28;1.55;1150.5
1115.31;1804.58;9.21;18.68;1.55;1153.3
1123.67;1824.91;9.21;17.5;1.55;1155.91
1128.34;1844.41;9.21;17.49;1.55;1152.9
1143.55;1856.13;9.22;17.5;1.56;1150.07
1149.33;1882.68;9.2;19.85;1.57;1150.07
1140.16;1902.67;9.18;18.51;1.55;1154.83
1130.04;1898.28;9.19;17.02;1.57;1152.6
1137.58;1899.38;9.19;15.5;1.55;1156.69
1134.41;1912.16;9.19;15.5;1.56;1156.51
1136.75;1905.97;9.18;16.17;1.55;1157.77
1139.34;1889.91;9.18;18.8;1.56;1161.69
1133.27;1878.01;9.18;18.8;1.56;1161.97
1131.73;1892.23;9.19;16.45;1.56;1160.06
1132.37;1887.02;9.18;15.51;1.56;1155.17
1133.8;1887.2;9.19;15.46;1.56;1157.4
1124.7;1876.76;9.18;15.53;1.56;1156.39
1122.79;1868.5;9.19;15.5;1.56;1154.91
1124.95;1855.3;9.18;15.53;1.56;1162.3
1131.41;1831.62;9.19;15.5;1.57;1161.47
1137.95;1834.65;9.19;15.52;1.55;1161.87
1137.66;1820.8;9.18;15.5;1.55;1158.66
1126.67;1806.86;9.18;17.75;1.55;1159.11
1118.14;1805.4;9.18;18.73;1.55;1160.24
1127.71;1819.01;9.18;18.04;1.56;1161
1126.41;1826.63;9.18;15.58;1.58;1159.51
1120.2;1831.87;9.18;15.57;1.56;1158.73
1110.81;1811.25;9.19;17.73;1.56;1160.72
1117.61;1789.4;9.18;18.69;1.55;1155.91
1113.1;1773.37;9;16.49;1.55;1157.6
1102.1;1753.67;7.94;15.69;1.56;1153.12
1096.07;1744.3;6.26;18;1.57;1147.8
1099.12;1736.49;4.45;18.8;1.56;1146.77
1102.52;1722.29;2.23;18.82;1.55;1142.09
1109.9;1721.84;0.13;19.07;1.56;1142.97
1112.78;1743.03;0;20.56;1.56;1140.7
1113.11;1768.18;0;20.97;1.56;1133.76
1105.76;1804.99;0;21.01;1.55;1135.84
1114.32;1834.52;0;21;1.56;1135.79
1118.41;1865.63;0;21.02;1.58;1139.2
1115.89;1884.79;0;21;1.58;1136.63
1107.28;1889.35;0;18.91;1.55;1140.8
1114.76;1918.73;0;18.77;1.55;1145.21
1122.39;1920.42;0;20.97;1.57;1145.75
1117.24;1896.26;0;17.9;1.57;1147.01
1117.43;1911.5;0;20.21;1.57;1147.11
1112.08;1930.31;0.11;18.59;1.56;1152.35
1112.22;1908.2;0.16;17.25;1.56;1151.81
1112.56;1899.26;0.36;17.18;1.56;1152.35
1106.81;1896.56;1.3;17.06;1.55;1153.2
1110.06;1911.79;2.11;17.01;1.56;1154.19
1110.02;1885.19;2.12;17.03;1.55;1154.3
1115.61;1896.7;2.73;18.97;1.55;1154.71
1117.01;1905.77;3.15;17.96;1.57;1151.96
1117.33;1892.02;3.83;17.18;1.55;1155.09
1125.2;1877.45;3.84;17.22;1.57;1154.56
1121.71;1884.32;3.82;17.2;1.56;1153.54
1113.51;1870.35;3.82;17.16;1.56;1154.67
1106.59;1844.06;3.82;17.17;1.56;1158.03
1101.95;1828.41;3.83;17.2;1.57;1154.69
1108.76;1840.4;3.83;18.94;1.57;1153.35
1113.87;1847.23;3.82;17.99;1.56;1150.72
1109.64;1857.72;3.83;17.18;1.58;1148.84
1110.02;1853.55;3.83;17.18;1.57;1155.32
1109.64;1842.21;3.83;18.94;1.55;1155.08
1112.25;1845.45;3.83;18.67;1.56;1151.97
1117.75;1831.82;3.83;17.19;1.56;1156.62
1118.71;1827.71;3.83;15.96;1.57;1157.9
1105.5;1837.52;3.87;15.98;1.56;1152.96
1108.6;1830.83;3.88;17.85;1.55;1153.25
1114.91;1839.68;3.87;18.7;1.55;1151.07
1114.23;1847.98;3.86;18.21;1.56;1151.07
1129.6;1866.63;3.87;17.09;1.57;1151.97
1131.94;1878.64;3.93;17.37;1.58;1153.12
1130.89;1890.02;3.96;17.35;1.54;1155.6
1130.72;1892.83;4.57;17.42;1.54;1155
1119.5;1890.7;5.49;16.84;1.55;1159.34
1117.26;1878.43;5.77;14.86;1.56;1158.73
1119.93;1894.34;6.4;15.33;1.58;1158.62
1120.65;1906.18;6.83;17.54;1.57;1157.98
1118.91;1912.12;8.15;17.58;1.58;1160.58
1121.51;1908.47;8.41;16.48;1.55;1160.6
1122.98;1893.17;8.41;14.09;1.55;1155.88
1117.3;1884.72;8.41;14.13;1.56;1158.23
1116.4;1863.98;8.42;16.4;1.56;1157.16
1116.14;1841.14;8.41;17.63;1.55;1156.08
1123.66;1850.18;8.42;17.31;1.56;1154.43
1118.45;1834.35;8.42;15.38;1.55;1158.17
1117.15;1851.62;8.41;14.61;1.57;1159.37
1119.44;1843.48;8.42;16.3;1.56;1161.73
1123.26;1834.24;8.41;17.13;1.56;1160.81
1116.6;1825.01;8.42;17.33;1.56;1155.45
1116.52;1817.17;8.41;16.69;1.55;1156.97
1115.17;1815.74;8.4;14.81;1.55;1157.38
1121.09;1798.03;8.4;16.86;1.56;1153.23
1124.37;1798.22;8.4;17.73;1.56;1153.2
1118.46;1815.72;8.4;17.77;1.56;1155.61
1127.71;1829.29;8.39;17.75;1.55;1156.58
1126.31;1840.76;8.38;17.78;1.56;1154.21
1126.35;1848.54;8.39;18.25;1.56;1155.12
1130.04;1877.69;8.38;20.77;1.57;1156.69
1140.2;1880.81;8.39;20.01;1.57;1158.24
1136.06;1894.76;8.41;21.55;1.55;1159.95
1127.27;1901.94;8.72;18;1.56;1157.45
1129.19;1904.29;9.5;18.62;1.56;1158.91
1133.36;1881.4;9.5;20.1;1.56;1160.56
1122.89;1899.86;10.4;15.88;1.55;1161.45
1118.93;1899.11;11.7;17.45;1.55;1162.43
1124.31;1882.66;11.7;16.52;1.55;1162.31
1125.76;1881.01;11.69;16.47;1.55;1165.92
1134.91;1880.46;11.88;16.44;1.56;1166.76
1134.53;1888.36;12.59;16.41;1.57;1167.35
1137.03;1875.85;12.59;16.43;1.57;1165.31
1130.5;1875.64;12.6;16.49;1.58;1163.08
1124.69;1878.46;12.59;16.42;1.58;1162.21
1116.48;1875.5;12.59;16.39;1.58;1163.29
1124.21;1864.92;12.6;16.39;1.56;1168.07
1137.98;1857.58;12.6;16.42;1.55;1166.48
1140.46;1834.48;12.59;16.43;1.55;1166.05
1134.75;1826.41;12.6;16.47;1.55;1164.36
1145.68;1813.42;12.59;16.46;1.56;1160.04
1138.37;1798.68;12.57;17.04;1.56;1162.4
1130.71;1799.82;12.56;18.88;1.55;1161.71
1130.06;1793.84;12.56;17.18;1.56;1157.44
1132.03;1802.82;12.56;17.17;1.58;1157.14
1133.77;1810.14;12.56;19.84;1.55;1155.52
1135.3;1813.04;12.56;20.23;1.55;1156.75
1123.65;1812.54;12.57;17.11;1.56;1158.08
1121.46;1829.16;12.57;17.49;1.56;1159.33
1123.85;1817.87;12.56;19.24;1.55;1160.58
1128.69;1823.66;12.57;18.36;1.56;1162.36
1139.58;1830.5;12.57;17.47;1.55;1164.72
1135.94;1850.93;12.57;17.64;1.55;1157.39
1134.64;1874.56;12.58;17.03;1.55;1157.85
1128.76;1852.64;12.57;16.42;1.55;1158.72
1125.78;1869.22;12.57;18.01;1.54;1162.59
1128.36;1880.52;12.57;18.75;1.55;1159.16
1126.62;1894.03;12.57;17.2;1.58;1158.94
1135.08;1890.76;12.57;16.54;1.56;1157.18
1126.99;1907.29;12.6;16.52;1.56;1159.34
1122.83;1892.59;12.75;16.55;1.55;1160.12
1142.22;1844.66;12.74;18.83;1.56;1163.04
1135.79;1825;12.74;17.25;1.56;1164.04
1130.09;1820.54;12.74;16.12;1.56;1163.9
1125.82;1827.59;12.74;16.15;1.55;1159.92
1129.44;1825.09;12.74;16.09;1.56;1160.32
1133.01;1798.61;12.74;17.96;1.57;1158.68
1132.57;1793.33;12.73;18.1;1.57;1163.49
1128.41;1786.36;12.74;15.68;1.56;1162.62
1122.81;1805.19;12.73;15.77;1.56;1157.89
1120.38;1799.87;12.69;18.4;1.56;1153.5
1113.55;1805.1;12.5;18.87;1.56;1156.71
1107.65;1826.96;12.5;18.32;1.56;1156.89
1120.62;1824.58;12.51;16.23;1.56;1155.64
1112.04;1829.49;12.5;18.36;1.56;1154.46
1115.68;1839.62;12.52;18.91;1.56;1158.77
1112.26;1819.33;12.51;17.18;1.56;1157.08
1118.28;1798.47;11.67;17.7;1.55;1156.94
1125.24;1823.6;11.3;19.93;1.58;1152.93
1124.98;1878.66;11.32;18.46;1.57;1154.56
1120.43;1884.12;11.32;17.91;1.56;1159.76
1124.4;1893.87;11.32;20.39;1.55;1161.19
1130.06;1893.44;11.32;19.69;1.55;1162.63
1129.42;1907.16;11.32;18.92;1.56;1164.04
1124.56;1910.72;11.32;18.9;1.55;1166.55
1119.45;1892.81;11.32;18.91;1.56;1167.37
1131.27;1897.84;11.33;17.68;1.54;1167.53
1139.86;1906.24;11.39;15.69;1.57;1170.63
1131.21;1901.2;11.63;17.76;1.57;1168.39
1116.72;1875.26;11.63;18.55;1.56;1167.83
1114.97;1851.56;11.64;18.01;1.55;1163.06
1117.44;1834.26;11.64;15.78;1.55;1156.9
1121.67;1820.24;11.61;17.85;1.57;1157.2
1121.25;1778.86;11.61;18.77;1.56;1161.68
1121.79;1763.39;11.61;18.7;1.56;1155.63
1119.52;1777.86;11.62;18.73;1.57;1152.96
1118.65;1808.6;11.61;19.49;1.55;1154.26
1127.82;1813.1;11.62;20.54;1.55;1154.71
1123.11;1809.74;11.61;20.67;1.57;1155.71
1125.78;1812.35;11.61;20.71;1.57;1156.25
1128.62;1832.35;11.6;20.67;1.56;1156.37
1126.84;1846.31;11.61;20.86;1.56;1156.53
1133.58;1837.24;11.61;20.74;1.56;1152.93
1141.03;1854.34;11.61;20.69;1.57;1154.99
1137.46;1858.74;11.62;20.66;1.56;1156.28
1128.49;1867.34;11.62;20.18;1.55;1157.82
1126.65;1852.19;11.62;19.15;1.57;1158.73
1126.58;1847.03;11.61;19.64;1.57;1159.61
1133.1;1846.63;11.61;18.11;1.57;1162.52
1130.03;1824.11;11.61;18.21;1.56;1160.05
1118.91;1835.82;11.61;21.26;1.55;1155.17
1127.18;1830.41;11.61;21.29;1.56;1157.7
1126.23;1835.54;11.63;20.64;1.56;1155.84
1128.82;1819.58;11.54;18.68;1.56;1152.54
1134.06;1816.38;11.27;21.06;1.57;1154.62
1127.39;1833.51;11.27;20.38;1.56;1158.67
1129.17;1862.67;11.27;18.06;1.56;1157.15
1126.11;1876.37;11.3;18.09;1.57;1154.18
1133.4;1868.16;11.29;18.12;1.57;1158.08
1137.37;1904.31;11.28;18.09;1.56;1158.87
1149.53;1911.49;11.29;18.09;1.56;1158.89
1150.57;1906;11.28;18.1;1.57;1160.88
1143.89;1908.55;11.28;18.08;1.56;1164.08
1145.42;1913.2;11.34;18.06;1.56;1162.34
1152.96;1911.15;11.56;18.08;1.57;1163.65
1148.94;1924.11;12.4;18.09;1.57;1166.33
1143.81;1929.58;13.94;18.12;1.55;1168.36
1140.78;1924.43;14.94;20.33;1.56;1169.56
1141.34;1890.82;14.95;18.03;1.56;1168.81
1137.14;1876.03;14.95;17;1.56;1167.75
1132.19;1854.79;14.95;15.65;1.56;1170.7
1112.27;1843.4;14.95;15.62;1.55;1171.98
1110.68;1814.14;14.93;18.76;1.56;1168.27
1108.19;1770.62;14.93;18.04;1.56;1165.91
1105.44;1723.8;14.83;18.05;1.56;1162.73
1113.39;1691.34;12.21;20.71;1.58;1158.59
1102.88;1709.7;9.29;20.67;1.57;1152.74
1115.53;1741.63;8.45;20.67;1.56;1149.27
1114.84;1757.97;7.51;20.78;1.55;1151.88
1114.76;1772.7;6.89;19.99;1.54;1155.72
1119.34;1771.6;6.05;19.02;1.57;1152.14
1116.04;1794.6;5.46;20.06;1.56;1149.16
1109.21;1823.9;5.18;18.58;1.57;1146.47
1116.27;1828.6;5.19;17.98;1.56;1145.23
1117.92;1844.61;5.18;18.66;1.57;1149.77
1123.31;1864.03;5.18;21.05;1.57;1151.98
1132.33;1844.22;5.19;20.21;1.55;1152.81
1131.38;1855.22;5.18;17.3;1.56;1151.15
1121.15;1866.3;5.18;18.87;1.56;1152.64
1124.33;1879.98;5.18;19.69;1.58;1151.75
1126.08;1906.86;5.17;18.28;1.55;1154.75
1122.45;1931.19;5.18;18.02;1.56;1152.43
1121.16;1923.06;5.22;19.93;1.57;1151.56
1124.62;1917.64;5.4;18.45;1.56;1154.29
1126.93;1925.27;6.89;17.7;1.57;1160.32
1120.29;1935.22;8.31;17.89;1.55;1159.33
1124.85;1921.53;9.02;17.77;1.54;1164.76
1126.66;1914.85;9.99;17.78;1.56;1165.82
1131.7;1912.15;11.1;17.61;1.57;1166.66
1134.1;1916.46;12.42;17.64;1.56;1167.99
1136.78;1919.73;13.09;17.68;1.57;1166.92
1130.08;1894.91;13.38;17.02;1.56;1167.4
1139.79;1886.16;13.38;15.68;1.57;1167.82
1128.68;1900.26;14.05;14.94;1.55;1172.47
1132.29;1877.52;14.33;15.14;1.56;1172.36
1124.71;1864.44;14.34;16.66;1.57;1168.97
1127.83;1864.03;14.34;17.38;1.57;1171
1141.22;1850.76;14.33;15.32;1.56;1170.72
1141.25;1845.92;14.34;14.37;1.56;1169.92
1137.44;1865.97;14.35;16.32;1.56;1168.66
1137.99;1831.08;14.34;17.35;1.56;1167.21
1137.03;1829.36;14.34;16.63;1.57;1168.94
1141.53;1846.48;14.35;14.19;1.56;1165.79
1139.49;1852.16;14.33;14.22;1.56;1167.53
1130.23;1849.06;14.34;15.84;1.56;1167.94
1117.68;1840.98;14.34;16.61;1.57;1166.37
1120.91;1826.89;14.34;16.66;1.55;1167.55
1125.16;1813.59;14.34;16.7;1.57;1162.22
1125.85;1798.31;14.33;16.69;1.56;1161.19
1115.49;1792.8;14.34;16.65;1.55;1163.56
1124.28;1774.03;14.34;16.69;1.55;1160.97
1123.2;1769.18;14.34;16.74;1.56;1161.24
1127.66;1765.43;14.04;17.7;1.55;1163.04
1126.41;1767.91;12.89;19.51;1.56;1159.86
1127.92;1772.61;12.1;17.04;1.57;1157.7
1127.06;1792.02;11.77;17.57;1.56;1158.72
1126.03;1813.04;11.76;17.57;1.56;1161.05
1136.3;1841.37;11.77;17.54;1.57;1157.78
1125.69;1861.75;11.78;17.56;1.57;1158.03
1131.76;1873.15;11.77;17.56;1.57;1158.13
1127.9;1901.43;11.79;17.58;1.57;1163.49
1127.65;1907.46;11.79;17.49;1.58;1162.81
1127.81;1907.47;11.8;17.57;1.57;1166.05
1124.93;1900.73;11.79;17.61;1.56;1164.25
1123.74;1882.99;11.78;17.56;1.56;1166.4
1124.91;1902.68;11.79;17.56;1.55;1162.01
1121.07;1899.99;11.8;17.3;1.55;1165.1
1120.28;1883.31;11.8;16.57;1.55;1167.4
1121.7;1871.64;11.78;15.14;1.56;1164.66
1123.38;1862;11.79;15.79;1.55;1164.42
1128.99;1851.69;11.78;18.53;1.56;1165.93
1124.34;1828.28;11.79;17.36;1.56;1166.12
1124.21;1834.85;11.8;16.41;1.59;1156.76
1127.68;1810.06;11.79;15.74;1.56;1158.05
1121.99;1803.94;11.79;17.84;1.56;1158.8
1123.32;1808.21;11.79;18.71;1.56;1157.31
1124.48;1799.63;11.79;18.11;1.55;1156.43
1127.42;1800.05;11.79;15.62;1.55;1157.25
1133.07;1805.25;11.79;16.22;1.55;1160.4
1133.78;1841.52;11.79;18.76;1.56;1161.72
1133.89;1873.9;11.79;18.77;1.56;1162.99
1140.46;1883.39;11.79;18.16;1.55;1162.75
1132.57;1897.98;11.78;15.89;1.56;1159.05
1136.61;1885.93;11.79;16.45;1.56;1162.87
1139.63;1881.71;11.8;18.77;1.56;1165.14
1134.6;1897.11;11.8;18.06;1.56;1167.72
1132.79;1892.56;11.8;15.25;1.56;1164.46
1134.25;1897.33;11.8;17.4;1.56;1163.27
1128.48;1886.26;11.89;18.24;1.57;1167.27
1132.4;1896.11;11.94;18.28;1.56;1169.05
1141.13;1912.73;13.05;16.11;1.56;1164.57
1140.7;1908.66;14.4;15.25;1.56;1163.07
1136.7;1889.05;14.41;17.27;1.56;1166.72
1134.25;1848.9;14.4;18.13;1.56;1166.88
1136.37;1832.84;14.4;16.5;1.57;1170.17
1132.01;1810.06;14.41;15.57;1.56;1164.83
1129.18;1794.1;14.4;18.03;1.56;1161.07
1130.23;1793.27;14.4;17.53;1.57;1160.81
1131.5;1776.11;14.41;17.55;1.56;1163.17
1118.69;1787.42;14.4;17.49;1.56;1164.28
1123.42;1798.15;14.4;17.49;1.57;1161.48
1129.38;1790;13.83;17.55;1.57;1162.04
